"module name","license","repository"
"3d-view@2.0.1","MIT","https://github.com/mikolalysenko/3d-view"
"@ampproject/remapping@2.3.0","Apache-2.0","https://github.com/ampproject/remapping"
"@babel/code-frame@7.26.2","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.26.5","MIT","https://github.com/babel/babel"
"@babel/core@7.26.7","MIT","https://github.com/babel/babel"
"@babel/generator@7.26.5","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.26.5","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.26.0","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.26.5","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helpers@7.26.7","MIT","https://github.com/babel/babel"
"@babel/parser@7.26.7","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-self@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-source@7.25.9","MIT","https://github.com/babel/babel"
"@babel/runtime@7.26.7","MIT","https://github.com/babel/babel"
"@babel/template@7.25.9","MIT","https://github.com/babel/babel"
"@babel/traverse@7.26.7","MIT","https://github.com/babel/babel"
"@babel/types@7.26.7","MIT","https://github.com/babel/babel"
"@choojs/findup@0.2.1","MIT","https://github.com/choojs/findup"
"@emotion/babel-plugin@11.13.5","MIT","https://github.com/emotion-js/emotion/tree/main/packages/babel-plugin"
"@emotion/cache@11.14.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/cache"
"@emotion/hash@0.9.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/hash"
"@emotion/memoize@0.9.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/memoize"
"@emotion/react@11.14.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/react"
"@emotion/serialize@1.3.3","MIT","https://github.com/emotion-js/emotion/tree/main/packages/serialize"
"@emotion/sheet@1.4.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/sheet"
"@emotion/unitless@0.10.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/unitless"
"@emotion/use-insertion-effect-with-fallbacks@1.2.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/use-insertion-effect-with-fallbacks"
"@emotion/utils@1.4.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/utils"
"@emotion/weak-memoize@0.4.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/weak-memoize"
"@esbuild/linux-x64@0.24.2","MIT","https://github.com/evanw/esbuild"
"@eslint-community/eslint-utils@4.4.1","MIT","https://github.com/eslint-community/eslint-utils"
"@eslint-community/regexpp@4.12.1","MIT","https://github.com/eslint-community/regexpp"
"@eslint/config-array@0.19.1","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/core@0.10.0","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/eslintrc@3.2.0","MIT","https://github.com/eslint/eslintrc"
"@eslint/js@9.19.0","MIT","https://github.com/eslint/eslint"
"@eslint/object-schema@2.1.5","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/plugin-kit@0.2.5","Apache-2.0","https://github.com/eslint/rewrite"
"@ethersproject/abi@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/abstract-provider@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/abstract-signer@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/address@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/base64@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/basex@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/bignumber@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/bytes@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/constants@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/contracts@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/hash@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/hdnode@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/json-wallets@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/keccak256@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/logger@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/networks@5.7.1","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/pbkdf2@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/properties@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/providers@5.7.2","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/random@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/rlp@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/sha2@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/signing-key@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/solidity@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/strings@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/transactions@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/units@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/wallet@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/web@5.7.1","MIT","https://github.com/ethers-io/ethers.js"
"@ethersproject/wordlists@5.7.0","MIT","https://github.com/ethers-io/ethers.js"
"@floating-ui/core@1.6.9","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/dom@1.6.13","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react-dom@2.1.2","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react@0.26.28","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/utils@0.2.9","MIT","https://github.com/floating-ui/floating-ui"
"@humanfs/core@0.19.1","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanfs/node@0.16.6","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanwhocodes/module-importer@1.0.1","Apache-2.0","https://github.com/humanwhocodes/module-importer"
"@humanwhocodes/retry@0.3.1","Apache-2.0","https://github.com/humanwhocodes/retry"
"@humanwhocodes/retry@0.4.1","Apache-2.0","https://github.com/humanwhocodes/retry"
"@icons/material@0.2.4","MIT","https://github.com/at-icons/material"
"@jridgewell/gen-mapping@0.3.8","MIT","https://github.com/jridgewell/gen-mapping"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/set-array@1.2.1","MIT","https://github.com/jridgewell/set-array"
"@jridgewell/source-map@0.3.6","MIT","https://github.com/jridgewell/source-map"
"@jridgewell/sourcemap-codec@1.5.0","MIT","https://github.com/jridgewell/sourcemap-codec"
"@jridgewell/trace-mapping@0.3.25","MIT","https://github.com/jridgewell/trace-mapping"
"@mantine/core@7.16.1","MIT","https://github.com/mantinedev/mantine"
"@mantine/hooks@7.16.1","MIT","https://github.com/mantinedev/mantine"
"@mapbox/geojson-rewind@0.5.2","ISC","https://github.com/mapbox/geojson-rewind"
"@mapbox/geojson-types@1.0.2","ISC",""
"@mapbox/jsonlint-lines-primitives@2.0.2","Custom: https://github.com/tmcw/jsonlint","https://github.com/mapbox/jsonlint"
"@mapbox/mapbox-gl-supported@1.5.0","BSD-3-Clause","https://github.com/mapbox/mapbox-gl-supported"
"@mapbox/point-geometry@0.1.0","ISC","https://github.com/mapbox/point-geometry"
"@mapbox/tiny-sdf@1.2.5","BSD-2-Clause","https://github.com/mapbox/tiny-sdf"
"@mapbox/tiny-sdf@2.0.6","BSD-2-Clause","https://github.com/mapbox/tiny-sdf"
"@mapbox/unitbezier@0.0.0","BSD-2-Clause","https://github.com/mapbox/unitbezier"
"@mapbox/unitbezier@0.0.1","BSD-2-Clause","https://github.com/mapbox/unitbezier"
"@mapbox/vector-tile@1.3.1","BSD-3-Clause","https://github.com/mapbox/vector-tile-js"
"@mapbox/whoots-js@3.1.0","ISC","https://github.com/mapbox/whoots-js"
"@maplibre/maplibre-gl-style-spec@19.3.3","ISC","https://github.com/maplibre/maplibre-gl-style-spec"
"@maplibre/maplibre-gl-style-spec@20.4.0","ISC","https://github.com/maplibre/maplibre-gl-style-spec"
"@nodelib/fs.scandir@2.1.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.stat@2.0.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk@1.2.8","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@plotly/d3-sankey-circular@0.33.1","MIT","https://github.com/plotly/d3-sankey-circular"
"@plotly/d3-sankey@0.7.2","BSD-3-Clause","https://github.com/d3/d3-sankey"
"@plotly/d3@3.8.2","BSD-3-Clause","https://github.com/plotly/d3"
"@plotly/draft-js-export-html@1.2.0","ISC","https://github.com/sstur/draft-js-utils/tree/master/packages/draft-js-export-html"
